dealer_id,salesman_id,territory_risk_tier,is_salesman_favorite,dealer_name,city,true_risk_profile,bounce_rate_lifetime,avg_days_late_nonseasonal,payment_volatility,real_exposure_pkr,order_frequency_trend,salesman_default_rate_loo,territory_default_rate_loo,is_high_risk,risk_probability,credit_score,risk_flag,top_reasons
D0001,SM001,Low,False,FM-Islamabad-0001 Traders,Islamabad,Reliable,0.0,1.0,1.224744871391589,25078.103647431464,-0.1111111111111111,0.0706134128183214,0.017698558717844946,0,0.12728674734358975,881.0,GREEN (Reliable),"[(""Elevated risk in dealer's territory"", 0.187), ('Cheque bounce history', 0.01), (""Salesman's track record with similar dealers"", -0.021)]"
D0002,SM007,Low,False,Te-Lahore-0002 Traders,Lahore,Reliable,0.0,1.6,1.6733200530681511,309052.38708507887,5.0,0.031461751367213554,0.017698558717844946,0,0.319693956703232,813.0,GREEN (Reliable),"[('Inflation-adjusted credit exposure', 0.23), ('Declining order activity', 0.191), (""Elevated risk in dealer's territory"", 0.187)]"
D0003,SM001,Medium,True,FM-Karachi-0003 Traders,Karachi,Moderate,0.0,10.909090909090908,5.7005116729407135,165814.35866354665,14.0,0.0706134128183214,0.052106245899751005,1,0.7853554766693517,695.0,AMBER (Moderate),"[('Declining order activity', 0.695), ('Late payment pattern (excluding Eid/Ramzan)', 0.502), ('Inconsistent / unpredictable payment timing', 0.135)]"
D0004,SM003,Low,False,Ph-Rawalpindi-0004 Traders,Rawalpindi,Reliable,0.0,2.75,1.9086270308410553,87062.06681778381,8.0,0.05087287953630459,0.017698558717844946,0,0.2877640270198822,822.0,GREEN (Reliable),"[('Declining order activity', 0.359), (""Elevated risk in dealer's territory"", 0.187), ('Cheque bounce history', 0.01)]"
D0005,SM001,Low,True,FM-Lahore-0005 Traders,Lahore,Reliable,0.07407407407407407,1.7,1.8092355660149217,404800.6504444943,0.45454545454545453,0.06752699306523498,0.01668384537436448,0,0.3144423325414124,815.0,GREEN (Reliable),"[('Inflation-adjusted credit exposure', 0.461), (""Elevated risk in dealer's territory"", 0.194), ('Cheque bounce history', -0.007)]"
D0006,SM008,High,False,Ph-InteriorSindh-0006 Traders,Interior Sindh,Reliable,0.0,1.9444444444444444,1.7559422921421233,307956.5119322884,-0.3333333333333333,0.0485033973303768,0.0704023655478718,0,0.19946172128852843,850.0,GREEN (Reliable),"[('Inflation-adjusted credit exposure', 0.227), ('Cheque bounce history', 0.01), (""Salesman's track record with similar dealers"", -0.004)]"
D0007,SM001,Medium,False,Ph-Karachi-0007 Traders,Karachi,Risky,0.2608695652173913,35.36363636363637,11.740766083833462,379868.53218388226,-0.08333333333333333,0.05974384760093009,0.049621773850061564,1,0.997697254155198,420.0,RED (High Risk),"[('Late payment pattern (excluding Eid/Ramzan)', 4.728), ('Inconsistent / unpredictable payment timing', 0.99), ('Inflation-adjusted credit exposure', 0.401)]"
D0008,SM003,Medium,False,FM-Karachi-0008 Traders,Karachi,Reliable,0.058823529411764705,2.25,1.7594980344783944,33702.30082427175,-0.1111111111111111,0.0489120952225791,0.05154602181011515,0,0.13456956783246418,877.0,GREEN (Reliable),"[('Cheque bounce history', -0.004), (""Salesman's track record with similar dealers"", -0.004), (""Elevated risk in dealer's territory"", -0.064)]"
D0009,SM002,Medium,True,Te-InteriorPunjab-0009 Traders,Interior Punjab,Reliable,0.058823529411764705,1.6538461538461537,1.6546610607029015,30330.69607053402,-0.5217391304347826,0.0360618368559545,0.05154602181011515,0,0.11915766719179137,885.0,GREEN (Reliable),"[(""Salesman's track record with similar dealers"", 0.005), ('Cheque bounce history', -0.004), (""Elevated risk in dealer's territory"", -0.064)]"
D0010,SM006,Medium,False,Te-InteriorPunjab-0010 Traders,Interior Punjab,Moderate,0.0,10.4,5.734002779802943,376731.8491063213,2.0,0.04057246715117146,0.052106245899751005,1,0.7453026682180766,708.0,GREEN (Reliable),"[('Late payment pattern (excluding Eid/Ramzan)', 0.414), ('Inflation-adjusted credit exposure', 0.393), ('Inconsistent / unpredictable payment timing', 0.14)]"
D0011,SM006,Medium,False,Ph-Faisalabad-0011 Traders,Faisalabad,Moderate,0.03571428571428571,10.869565217391305,6.085806194501846,370089.7079242989,-0.35294117647058826,0.039296956947089824,0.051766109845329235,0,0.7411086026514375,709.0,GREEN (Reliable),"[('Late payment pattern (excluding Eid/Ramzan)', 0.495), ('Inflation-adjusted credit exposure', 0.377), ('Inconsistent / unpredictable payment timing', 0.189)]"
D0012,SM006,Medium,False,Te-Faisalabad-0012 Traders,Faisalabad,Moderate,0.07142857142857142,6.636363636363637,6.345804186171424,506909.7374716513,0.0,0.03802144674300819,0.05142597379090747,1,0.6687568991110364,729.0,GREEN (Reliable),"[('Inflation-adjusted credit exposure', 0.708), ('Inconsistent / unpredictable payment timing', 0.226), (""Salesman's track record with similar dealers"", 0.004)]"
D0013,SM007,Medium,False,Te-Faisalabad-0013 Traders,Faisalabad,Reliable,0.0,1.4444444444444444,1.5345938729769368,48838.51080312985,0.4444444444444444,0.031461751367213554,0.052106245899751005,0,0.12548633222843578,882.0,GREEN (Reliable),"[('Cheque bounce history', 0.01), (""Salesman's track record with similar dealers"", 0.009), ('Declining order activity', -0.065)]"
D0014,SM008,Medium,False,FM-Karachi-0014 Traders,Karachi,Reliable,0.0,1.4285714285714286,1.5222649416526253,467743.5868573815,0.125,0.0485033973303768,0.052106245899751005,0,0.2760410178614113,826.0,GREEN (Reliable),"[('Inflation-adjusted credit exposure', 0.613), ('Cheque bounce history', 0.01), (""Salesman's track record with similar dealers"", -0.004)]"
D0015,SM006,Medium,False,FM-Multan-0015 Traders,Multan,Moderate,0.05263157894736842,8.0,6.248659987068182,176983.26599429347,-0.5384615384615384,0.03869276790305116,0.051604992766918927,1,0.5248154298226222,764.0,GREEN (Reliable),"[('Inconsistent / unpredictable payment timing', 0.212), (""Salesman's track record with similar dealers"", 0.003), ('Late payment pattern (excluding Eid/Ramzan)', -0.0)]"
D0016,SM004,Low,False,Ph-Rawalpindi-0016 Traders,Rawalpindi,Moderate,0.08333333333333333,8.7,5.359782899266791,508841.33991219464,0.18181818181818182,0.05357010863589812,0.01655700620642942,0,0.7646890333033353,702.0,GREEN (Reliable),"[('Inflation-adjusted credit exposure', 0.713), (""Elevated risk in dealer's territory"", 0.195), ('Late payment pattern (excluding Eid/Ramzan)', 0.12)]"
D0017,SM005,Low,False,Ph-Lahore-0017 Traders,Lahore,Reliable,0.0,1.7083333333333333,1.6696942198734437,428100.3444947522,-0.45454545454545453,0.025015859380840076,0.017698558717844946,1,0.32078904140828246,813.0,GREEN (Reliable),"[('Inflation-adjusted credit exposure', 0.518), (""Elevated risk in dealer's territory"", 0.187), (""Salesman's track record with similar dealers"", 0.014)]"
D0018,SM006,Medium,False,Te-Gujranwala-0018 Traders,Gujranwala,Reliable,0.034482758620689655,2.0588235294117645,2.0612319735239044,244723.8387735755,0.07142857142857142,0.039340940057575394,0.051777838674792055,0,0.2108480681151581,846.0,GREEN (Reliable),"[('Inflation-adjusted credit exposure', 0.074), (""Salesman's track record with similar dealers"", 0.003), ('Cheque bounce history', 0.002)]"
D0019,SM006,Medium,False,FM-Faisalabad-0019 Traders,Faisalabad,Reliable,0.0,1.7777777777777777,1.9976176286957894,40938.785392063204,21.0,0.04057246715117146,0.052106245899751005,0,0.3336507052384024,810.0,GREEN (Reliable),"[('Declining order activity', 1.088), ('Cheque bounce history', 0.01), (""Salesman's track record with similar dealers"", 0.002)]"
D0020,SM003,High,False,FM-InteriorSindh-0020 Traders,Interior Sindh,Moderate,0.041666666666666664,10.0625,7.2354528991713085,37796.19892955709,2.0,0.049483990647415696,0.06933398947949573,0,0.5656733599957319,755.0,GREEN (Reliable),"[('Late payment pattern (excluding Eid/Ramzan)', 0.356), ('Inconsistent / unpredictable payment timing', 0.352), ('Declining order activity', 0.022)]"
D0021,SM005,Low,False,Te-Rawalpindi-0021 Traders,Rawalpindi,Reliable,0.0,2.1538461538461537,1.4992061391346578,41997.67995352582,21.0,0.025015859380840076,0.017698558717844946,0,0.3946951115173247,795.0,GREEN (Reliable),"[('Declining order activity', 1.088), (""Elevated risk in dealer's territory"", 0.187), (""Salesman's track record with similar dealers"", 0.014)]"
D0022,SM004,Low,False,Ph-Lahore-0022 Traders,Lahore,Reliable,0.02631578947368421,1.3870967741935485,1.5387877916944455,96202.28638210609,-0.5384615384615384,0.05642098582888057,0.01733806845108215,0,0.15995011177370724,866.0,GREEN (Reliable),"[(""Elevated risk in dealer's territory"", 0.19), ('Cheque bounce history', 0.004), (""Salesman's track record with similar dealers"", -0.01)]"
D0023,SM006,Low,False,FM-Lahore-0023 Traders,Lahore,Reliable,0.0,1.2352941176470589,1.88048714009375,32111.35874448775,-0.4,0.04057246715117146,0.017698558717844946,0,0.14578629580847416,872.0,GREEN (Reliable),"[(""Elevated risk in dealer's territory"", 0.187), ('Cheque bounce history', 0.01), (""Salesman's track record with similar dealers"", 0.002)]"
D0024,SM008,Low,False,FM-Rawalpindi-0024 Traders,Rawalpindi,Reliable,0.0,2.4,2.3754698783308417,114346.32308708082,0.0,0.0485033973303768,0.017698558717844946,0,0.21729827596387835,844.0,GREEN (Reliable),"[(""Elevated risk in dealer's territory"", 0.187), ('Cheque bounce history', 0.01), (""Salesman's track record with similar dealers"", -0.004)]"
D0025,SM006,High,False,Te-Peshawar-0025 Traders,Peshawar,Risky,0.1,36.5,13.007476482563574,32076.483627937425,-0.3333333333333333,0.037001038579742886,0.06783826298376923,1,0.9959800016155484,452.0,RED (High Risk),"[('Late payment pattern (excluding Eid/Ramzan)', 4.925), ('Inconsistent / unpredictable payment timing', 1.169), (""Salesman's track record with similar dealers"", 0.005)]"
D0026,SM008,Low,False,Ph-Lahore-0026 Traders,Lahore,Reliable,0.0,2.235294117647059,1.739670953500985,245728.1730077164,-0.13333333333333333,0.0485033973303768,0.017698558717844946,0,0.25164640228039065,833.0,GREEN (Reliable),"[(""Elevated risk in dealer's territory"", 0.187), ('Inflation-adjusted credit exposure', 0.077), ('Cheque bounce history', 0.01)]"
D0027,SM005,Medium,False,Te-InteriorPunjab-0027 Traders,Interior Punjab,Moderate,0.0,9.090909090909092,6.393652154972765,37652.721534209864,0.4,0.025015859380840076,0.052106245899751005,0,0.5108271463411017,767.0,GREEN (Reliable),"[('Inconsistent / unpredictable payment timing', 0.233), ('Late payment pattern (excluding Eid/Ramzan)', 0.188), (""Salesman's track record with similar dealers"", 0.014)]"
D0028,SM008,Medium,False,FM-Karachi-0028 Traders,Karachi,Risky,0.3333333333333333,28.8,14.714872494434754,29743.196751632266,-0.5,0.0384023872293667,0.048931642725147835,1,0.988932607286161,511.0,RED (High Risk),"[('Late payment pattern (excluding Eid/Ramzan)', 3.594), ('Inconsistent / unpredictable payment timing', 1.411), (""Salesman's track record with similar dealers"", 0.004)]"
D0029,SM001,High,False,Te-InteriorSindh-0029 Traders,Interior Sindh,Reliable,0.0,1.2307692307692308,1.6433517087676872,302812.97695184697,0.0,0.0706134128183214,0.0704023655478718,0,0.17661204218797072,859.0,GREEN (Reliable),"[('Inflation-adjusted credit exposure', 0.215), ('Cheque bounce history', 0.01), (""Salesman's track record with similar dealers"", -0.021)]"
D0030,SM001,High,False,Ph-InteriorSindh-0030 Traders,Interior Sindh,Risky,0.1,30.0,14.741453711094435,302901.48627686553,20.0,0.06644674615165473,0.06783826298376923,1,0.9983529170660733,400.0,RED (High Risk),"[('Late payment pattern (excluding Eid/Ramzan)', 3.801), ('Inconsistent / unpredictable payment timing', 1.415), ('Declining order activity', 1.032)]"
D0031,SM002,Low,False,FM-Rawalpindi-0031 Traders,Rawalpindi,Moderate,0.08333333333333333,8.666666666666666,5.567569981404409,184544.66542871608,-0.4,0.03508144469909176,0.01655700620642942,1,0.5986175757714933,747.0,GREEN (Reliable),"[(""Elevated risk in dealer's territory"", 0.195), ('Inconsistent / unpredictable payment timing', 0.116), ('Late payment pattern (excluding Eid/Ramzan)', 0.115)]"
D0032,SM001,Low,False,FM-Islamabad-0032 Traders,Islamabad,Reliable,0.0,1.95,1.8239152027072603,357247.57944977714,-0.3333333333333333,0.0706134128183214,0.017698558717844946,0,0.2920076661145283,821.0,GREEN (Reliable),"[('Inflation-adjusted credit exposure', 0.346), (""Elevated risk in dealer's territory"", 0.187), ('Cheque bounce history', 0.01)]"
D0033,SM003,Medium,True,FM-InteriorPunjab-0033 Traders,Interior Punjab,Reliable,0.0,1.8888888888888888,1.7827331970381497,27001.37667744042,-0.14285714285714285,0.05087287953630459,0.052106245899751005,0,0.1267516704808563,881.0,GREEN (Reliable),"[('Cheque bounce history', 0.01), (""Salesman's track record with similar dealers"", -0.006), (""Elevated risk in dealer's territory"", -0.068)]"
