dealer_id,salesman_id,territory_risk_tier,is_salesman_favorite,n_invoices,bounce_rate_lifetime,bounce_count_6m,avg_days_late,avg_days_late_nonseasonal,payment_volatility,real_exposure_pkr,order_frequency_trend,true_risk_profile,is_high_risk,salesman_default_rate_loo,territory_default_rate_loo
D0001,SM001,Low,False,29,0.0,0,1.3103448275862069,1.25,1.4905283884741312,20578.016038666756,0.5,Reliable,0,0.4166666666666667,0.2191780821917808
D0002,SM007,Low,False,20,0.0,0,1.3,1.1111111111111112,1.7501879598308412,253595.13094110557,1.0,Reliable,0,0.23809523809523808,0.2191780821917808
D0003,SM001,Medium,True,37,0.05405405405405406,2,10.771428571428572,9.961538461538462,6.310988149931152,136060.1495228759,-0.25,Moderate,1,0.375,0.3142857142857143
D0004,SM003,Low,False,43,0.0,0,2.046511627906977,1.8125,1.6468366266456345,71439.39719378768,-0.2631578947368421,Reliable,0,0.3,0.2191780821917808
D0005,SM001,Low,True,43,0.046511627906976744,0,1.8780487804878048,1.8181818181818181,1.860041961236621,332162.0483916737,-0.25,Reliable,0,0.4166666666666667,0.2191780821917808
D0006,SM008,High,False,38,0.0,0,1.894736842105263,2.0714285714285716,1.7209279973663885,252695.90280218647,0.16666666666666666,Reliable,0,0.3333333333333333,0.46153846153846156
D0007,SM001,Medium,False,34,0.2647058823529412,2,33.12,30.944444444444443,12.745325940647158,311703.82169886876,-0.5,Risky,1,0.375,0.3142857142857143
D0008,SM003,Medium,False,28,0.03571428571428571,0,1.962962962962963,2.0,1.8288601216958462,27654.6622763826,0.25,Reliable,0,0.3,0.3238095238095238
D0009,SM002,Medium,True,59,0.03389830508474576,0,1.8421052631578947,1.6382978723404256,1.6343355321288673,24888.068052438313,0.2,Reliable,0,0.4,0.3238095238095238
D0010,SM006,Medium,False,27,0.037037037037037035,0,11.576923076923077,11.0,5.714354395191653,309129.99412459455,0.3333333333333333,Moderate,0,0.32142857142857145,0.3238095238095238
D0011,SM006,Medium,False,45,0.022222222222222223,0,11.090909090909092,10.882352941176471,6.242458452118609,303679.7380088876,-0.3333333333333333,Moderate,0,0.32142857142857145,0.3238095238095238
D0012,SM006,Medium,False,23,0.08695652173913043,0,8.904761904761905,8.277777777777779,6.571946149389555,415948.38487384486,-0.25,Moderate,0,0.32142857142857145,0.3238095238095238
D0013,SM007,Medium,False,42,0.0,0,1.8095238095238095,1.7575757575757576,1.5654516256027227,40074.78686349314,-0.2,Reliable,0,0.23809523809523808,0.3238095238095238
D0014,SM008,Medium,False,42,0.0,0,1.7619047619047619,1.8285714285714285,1.7780439212321022,383810.32185105205,0.6666666666666666,Reliable,0,0.3333333333333333,0.3238095238095238
D0015,SM006,Medium,False,35,0.11428571428571428,2,11.387096774193548,8.68421052631579,5.637241756715416,145224.87574849825,-0.2222222222222222,Moderate,1,0.2857142857142857,0.3142857142857143
D0016,SM004,Low,False,43,0.046511627906976744,0,10.487804878048781,9.333333333333334,5.814301124036801,417533.3749736006,-0.36363636363636365,Moderate,0,0.25,0.2191780821917808
D0017,SM005,Low,False,52,0.019230769230769232,0,1.803921568627451,1.6486486486486487,1.7778594752469865,351280.77780610224,0.14285714285714285,Reliable,0,0.2903225806451613,0.2191780821917808
D0018,SM006,Medium,False,44,0.022727272727272728,0,2.558139534883721,1.9615384615384615,1.9186096848821514,200809.88379847136,-0.4444444444444444,Reliable,0,0.32142857142857145,0.3238095238095238
D0019,SM006,Medium,False,49,0.0,0,2.0,1.7380952380952381,1.6708281379802852,33592.61107797905,0.7777777777777778,Reliable,0,0.32142857142857145,0.3238095238095238
D0020,SM003,High,False,49,0.02040816326530612,0,12.375,11.057142857142857,6.603110163384164,31013.939439265592,0.6666666666666666,Moderate,0,0.3,0.46153846153846156
D0021,SM005,Low,False,38,0.0,0,2.0526315789473686,1.962962962962963,1.6265926651855027,34461.49453006839,0.14285714285714285,Reliable,0,0.2903225806451613,0.2191780821917808
