dealer_id,salesman_id,territory_risk_tier,is_salesman_favorite,dealer_name,city,sector,credit_limit_pkr,true_risk_profile,bounce_rate_lifetime,avg_days_late_nonseasonal,payment_volatility,real_exposure_pkr,order_frequency_trend,salesman_default_rate_loo,territory_default_rate_loo,is_high_risk,top_reasons,risk_probability_calibrated,credit_score,risk_flag,salesman_name
D0001,SM001,Low,False,FM-Islamabad-0001 Traders,Islamabad,FMCG,50000,Reliable,0.0,1.0,1.224744871391589,25078.103647431464,-0.1111111111111111,0.0706134128183214,0.017698558717844946,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -1.122}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.669}, {'factor': ""Salesman's track record with similar dealers"", 'direction': 'reduces_risk', 'weight': -0.513}]",0.08737515550333241,900.0,GREEN (Reliable),Tariq Mehmood
D0002,SM007,Low,False,Te-Lahore-0002 Traders,Lahore,Textile,350000,Reliable,0.0,1.6,1.6733200530681511,309052.38708507887,5.0,0.031461751367213554,0.017698558717844946,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -1.025}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.581}, {'factor': ""Salesman's track record with similar dealers"", 'direction': 'increases_risk', 'weight': 0.221}]",0.25342178719269504,832.0,GREEN (Reliable),Imran Yousaf
D0003,SM001,Medium,True,FM-Karachi-0003 Traders,Karachi,FMCG,200000,Moderate,0.0,10.909090909090908,5.7005116729407135,165814.35866354665,14.0,0.0706134128183214,0.052106245899751005,1,"[{'factor': ""Salesman's track record with similar dealers"", 'direction': 'reduces_risk', 'weight': -0.513}, {'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'increases_risk', 'weight': 0.484}, {'factor': 'Declining order activity', 'direction': 'increases_risk', 'weight': 0.422}]",0.49451328842190734,771.0,GREEN (Reliable),Tariq Mehmood
D0004,SM003,Low,False,Ph-Rawalpindi-0004 Traders,Rawalpindi,Pharma,100000,Reliable,0.0,2.75,1.9086270308410553,87062.06681778381,8.0,0.05087287953630459,0.017698558717844946,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -0.839}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.535}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'reduces_risk', 'weight': -0.256}]",0.18910074172573593,854.0,GREEN (Reliable),Bilal Aslam
D0005,SM001,Low,True,FM-Lahore-0005 Traders,Lahore,FMCG,750000,Reliable,0.07407407407407407,1.7,1.8092355660149217,404800.6504444943,0.45454545454545453,0.06752699306523498,0.01668384537436448,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -1.009}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.555}, {'factor': ""Salesman's track record with similar dealers"", 'direction': 'reduces_risk', 'weight': -0.455}]",0.1722897674487026,860.0,GREEN (Reliable),Tariq Mehmood
D0006,SM008,High,False,Ph-InteriorSindh-0006 Traders,Interior Sindh,Pharma,500000,Reliable,0.0,1.9444444444444444,1.7559422921421233,307956.5119322884,-0.3333333333333333,0.0485033973303768,0.0704023655478718,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -0.969}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.565}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'increases_risk', 'weight': 0.207}]",0.16515055553343352,863.0,GREEN (Reliable),Rizwan Malik
D0007,SM001,Medium,False,Ph-Karachi-0007 Traders,Karachi,Pharma,750000,Risky,0.2608695652173913,35.36363636363637,11.740766083833462,379868.53218388226,-0.08333333333333333,0.05974384760093009,0.049621773850061564,1,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'increases_risk', 'weight': 4.449}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'increases_risk', 'weight': 1.394}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'increases_risk', 'weight': 0.358}]",0.972655648330033,564.0,RED (High Risk),Tariq Mehmood
D0008,SM003,Medium,False,FM-Karachi-0008 Traders,Karachi,FMCG,50000,Reliable,0.058823529411764705,2.25,1.7594980344783944,33702.30082427175,-0.1111111111111111,0.0489120952225791,0.05154602181011515,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -0.92}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.564}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'reduces_risk', 'weight': -0.368}]",0.12059867982904238,885.0,GREEN (Reliable),Bilal Aslam
D0009,SM002,Medium,True,Te-InteriorPunjab-0009 Traders,Interior Punjab,Textile,50000,Reliable,0.058823529411764705,1.6538461538461537,1.6546610607029015,30330.69607053402,-0.5217391304347826,0.0360618368559545,0.05154602181011515,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -1.016}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.585}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'reduces_risk', 'weight': -0.375}]",0.12941699362402712,880.0,GREEN (Reliable),Aamir Sohail
D0010,SM006,Medium,False,Te-InteriorPunjab-0010 Traders,Interior Punjab,Textile,500000,Moderate,0.0,10.4,5.734002779802943,376731.8491063213,2.0,0.04057246715117146,0.052106245899751005,1,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'increases_risk', 'weight': 0.402}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'increases_risk', 'weight': 0.351}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'increases_risk', 'weight': 0.216}]",0.5884570078933324,749.0,GREEN (Reliable),Waqas Ahmed
D0011,SM006,Medium,False,Ph-Faisalabad-0011 Traders,Faisalabad,Pharma,750000,Moderate,0.03571428571428571,10.869565217391305,6.085806194501846,370089.7079242989,-0.35294117647058826,0.039296956947089824,0.051766109845329235,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'increases_risk', 'weight': 0.478}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'increases_risk', 'weight': 0.337}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'increases_risk', 'weight': 0.285}]",0.5944073597379423,748.0,GREEN (Reliable),Waqas Ahmed
D0012,SM006,Medium,False,Te-Faisalabad-0012 Traders,Faisalabad,Textile,750000,Moderate,0.07142857142857142,6.636363636363637,6.345804186171424,506909.7374716513,0.0,0.03802144674300819,0.05142597379090747,1,"[{'factor': 'Inflation-adjusted credit exposure', 'direction': 'increases_risk', 'weight': 0.624}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'increases_risk', 'weight': 0.336}, {'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -0.209}]",0.535317446491741,762.0,GREEN (Reliable),Waqas Ahmed
D0013,SM007,Medium,False,Te-Faisalabad-0013 Traders,Faisalabad,Textile,100000,Reliable,0.0,1.4444444444444444,1.5345938729769368,48838.51080312985,0.4444444444444444,0.031461751367213554,0.052106245899751005,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -1.05}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.609}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'reduces_risk', 'weight': -0.336}]",0.14415500533587333,873.0,GREEN (Reliable),Imran Yousaf
D0014,SM008,Medium,False,FM-Karachi-0014 Traders,Karachi,FMCG,750000,Reliable,0.0,1.4285714285714286,1.5222649416526253,467743.5868573815,0.125,0.0485033973303768,0.052106245899751005,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -1.053}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.611}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'increases_risk', 'weight': 0.542}]",0.20015587949787306,850.0,GREEN (Reliable),Rizwan Malik
D0015,SM006,Medium,False,FM-Multan-0015 Traders,Multan,FMCG,350000,Moderate,0.05263157894736842,8.0,6.248659987068182,176983.26599429347,-0.5384615384615384,0.03869276790305116,0.051604992766918927,1,"[{'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'increases_risk', 'weight': 0.317}, {'factor': ""Salesman's track record with similar dealers"", 'direction': 'increases_risk', 'weight': 0.086}, {'factor': 'Declining order activity', 'direction': 'reduces_risk', 'weight': -0.083}]",0.4439769492956128,783.0,GREEN (Reliable),Waqas Ahmed
D0016,SM004,Low,False,Ph-Rawalpindi-0016 Traders,Rawalpindi,Pharma,750000,Moderate,0.08333333333333333,8.7,5.359782899266791,508841.33991219464,0.18181818181818182,0.05357010863589812,0.01655700620642942,0,"[{'factor': 'Inflation-adjusted credit exposure', 'direction': 'increases_risk', 'weight': 0.628}, {'factor': ""Salesman's track record with similar dealers"", 'direction': 'reduces_risk', 'weight': -0.193}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'increases_risk', 'weight': 0.142}]",0.5328436862629744,762.0,GREEN (Reliable),Nasir Iqbal
D0017,SM005,Low,False,Ph-Lahore-0017 Traders,Lahore,Pharma,750000,Reliable,0.0,1.7083333333333333,1.6696942198734437,428100.3444947522,-0.45454545454545453,0.025015859380840076,0.017698558717844946,1,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -1.008}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.582}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'increases_risk', 'weight': 0.459}]",0.28276751493408325,824.0,GREEN (Reliable),Kamran Shahid
D0018,SM006,Medium,False,Te-Gujranwala-0018 Traders,Gujranwala,Textile,500000,Reliable,0.034482758620689655,2.0588235294117645,2.0612319735239044,244723.8387735755,0.07142857142857142,0.039340940057575394,0.051777838674792055,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -0.951}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.505}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'increases_risk', 'weight': 0.074}]",0.18696215689950174,855.0,GREEN (Reliable),Waqas Ahmed
D0019,SM006,Medium,False,FM-Faisalabad-0019 Traders,Faisalabad,FMCG,50000,Reliable,0.0,1.7777777777777777,1.9976176286957894,40938.785392063204,21.0,0.04057246715117146,0.052106245899751005,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -0.996}, {'factor': 'Declining order activity', 'direction': 'increases_risk', 'weight': 0.665}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.518}]",0.22208685891755597,842.0,GREEN (Reliable),Waqas Ahmed
D0020,SM003,High,False,FM-InteriorSindh-0020 Traders,Interior Sindh,FMCG,50000,Moderate,0.041666666666666664,10.0625,7.2354528991713085,37796.19892955709,2.0,0.049483990647415696,0.06933398947949573,0,"[{'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'increases_risk', 'weight': 0.51}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'reduces_risk', 'weight': -0.359}, {'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'increases_risk', 'weight': 0.347}]",0.45318177617583294,781.0,GREEN (Reliable),Bilal Aslam
D0021,SM005,Low,False,Te-Rawalpindi-0021 Traders,Rawalpindi,Textile,50000,Reliable,0.0,2.1538461538461537,1.4992061391346578,41997.67995352582,21.0,0.025015859380840076,0.017698558717844946,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -0.935}, {'factor': 'Declining order activity', 'direction': 'increases_risk', 'weight': 0.665}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.615}]",0.28385304041893444,823.0,GREEN (Reliable),Kamran Shahid
D0022,SM004,Low,False,Ph-Lahore-0022 Traders,Lahore,Pharma,200000,Reliable,0.02631578947368421,1.3870967741935485,1.5387877916944455,96202.28638210609,-0.5384615384615384,0.05642098582888057,0.01733806845108215,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -1.06}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.608}, {'factor': ""Salesman's track record with similar dealers"", 'direction': 'reduces_risk', 'weight': -0.247}]",0.1221504977926541,884.0,GREEN (Reliable),Nasir Iqbal
D0023,SM006,Low,False,FM-Lahore-0023 Traders,Lahore,FMCG,50000,Reliable,0.0,1.2352941176470589,1.88048714009375,32111.35874448775,-0.4,0.04057246715117146,0.017698558717844946,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -1.084}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.541}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'reduces_risk', 'weight': -0.371}]",0.14295755415635053,873.0,GREEN (Reliable),Waqas Ahmed
D0024,SM008,Low,False,FM-Rawalpindi-0024 Traders,Rawalpindi,FMCG,200000,Reliable,0.0,2.4,2.3754698783308417,114346.32308708082,0.0,0.0485033973303768,0.017698558717844946,0,"[{'factor': 'Late payment pattern (excluding Eid/Ramzan)', 'direction': 'reduces_risk', 'weight': -0.895}, {'factor': 'Inconsistent / unpredictable payment timing', 'direction': 'reduces_risk', 'weight': -0.444}, {'factor': 'Inflation-adjusted credit exposure', 'direction': 'reduces_risk', 'weight': -0.199}]",0.17537791039243095,859.0,GREEN (Reliable),Rizwan Malik
